TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SW-01A-11R-A084-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-A8-A07W-01A-11R-A00Z-07	TCGA-A8-A08J-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-B6-A0I9-01A-11R-A034-07	TCGA-B6-A0IB-01A-11R-A034-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-PL-A8LX-01A-11R-A41B-07	TCGA-UU-A93S-01A-21R-A41B-07
ABCG5|64240	3.26	2.7688	0.5626	0.8775	0.4458	1.2712	2.3287	0.4165	2.995	0.416	12.605	1.4017	0.956	3.2321	7.0662	2.4462	0.9289	0.4591	0.4451	0.7236
ABCG8|64241	2.445	0	0	0.4387	0.4458	0	1.6633	0	0.6656	0	6.0024	0	0.956	0.3232	2.7178	0	0.6192	0	0	0
ABHD10|55347	704.9715	1175.8191	710.3052	156.1868	974.5876	486.8515	572.8543	626.8874	825.624	718.0447	726.8908	717.6899	612.1734	718.1642	974.5889	352.9583	669.7113	516.0698	1525.7594	734.4428
ABHD11|83451	1901.3855	1127.8265	980.9244	1606.6178	1661.6139	795.1061	2473.7192	894.7204	1022.9617	1618.7207	524.0096	729.7449	623.327	5112.1526	923.495	851.2936	299.0944	1972.9109	1234.6723	5183.068
ABHD12B|145447	118.9894	4.1532	1.4065	1.7549	3.5667	0.6356	0.6653	0.4165	27.6206	0.832	3.0012	1.1214	0.3187	0.9696	1.0871	6.6398	43.6566	3.6731	3.1156	3.6179
ABHD12|26090	2178.4841	4437.4712	3076.6764	2800.3935	2930.8961	2114.2449	2620.7585	527.7517	1073.2113	2469.4748	958.5834	885.6182	1209.6877	3402.0685	947.4113	2351.8907	843.4089	2704.775	3915.4334	1403.0391
ABHD13|84945	374.8981	419.0125	264.4304	302.2828	262.1489	189.4018	564.8703	548.162	558.0699	222.1529	528.8115	441.5475	412.6832	425.3394	299.4972	427.3941	597.5695	410.9275	204.2951	322.7207
ABHD14A|25864	284.4336	531.0152	295.1381	170.226	356.2193	102.6456	197.6048	161.1996	174.7088	680.6032	125.4502	226.2405	219.8853	288.872	108.1669	110.5424	158.5262	167.2635	667.631	162.8075
ABHD14B|84836	1568.8672	2495.6161	3999.0886	990.6452	1904.5921	1292.4446	2018.9621	1174.2164	1463.8935	1997.7119	534.8139	894.0286	1831.74	1155.139	874.0318	412.7166	1042.8052	1972.9109	2741.293	1981.9103
ABHD15|116236	351.2632	561.1444	335.039	330.3613	240.3032	462.064	526.2808	197.4383	324.792	444.3058	170.4682	311.1859	354.0472	387.8474	350.5911	564.7333	347.3953	280.5326	324.0236	91.8958
ABHD1|84696	8.15	17.0743	20.2542	6.5809	7.1333	13.9827	4.6574	15.8284	33.6106	8.3203	2.401	12.6156	13.0656	134.4538	13.0453	11.5323	8.3598	15.6107	83.2313	30.3907
ABHD2|11057	2028.5249	3360.8676	3515.2371	1937.8565	1892.5546	4869.1507	2847.3054	8928.0433	6203.6606	1557.9823	1694.4778	6812.1671	4794.7737	2930.8339	2829.7323	4375.2856	12379.9056	1781.4509	111804.1616	1052.822
ABHD3|171586	1773.4311	1260.7291	210.1378	848.9365	304.0571	494.7962	292.7478	371.5506	690.5158	359.8544	321.7287	330.2495	714.4678	672.2689	674.0046	341.7755	507.7792	601.4692	112.6071	170.0434
ABHD4|63874	704.9715	1385.7868	825.0793	1836.9494	319.2153	660.0461	1276.4471	721.0247	744.7587	614.0406	637.455	1149.986	1186.4245	1581.448	498.9808	1310.8384	837.5261	1071.1662	583.9546	433.4298
ABHD5|51099	597.392	939.0863	949.9804	493.5677	1503.3437	623.5004	793.4132	1052.1712	696.173	828.7051	1810.3241	550.8831	774.3786	636.7162	1009.9198	563.3355	835.6684	695.5923	610.6598	443.5601
ABHD6|57406	154.0342	187.3558	306.9081	96.9586	38.3415	254.2306	188.6228	56.2324	101.1647	105.2522	26.4106	79.3384	103.5692	108.9205	548.4441	125.108	154.5011	151.056	321.3531	182.3444
ABHD8|79575	396.903	411.629	254.3033	180.7555	273.7405	178.2792	114.4378	193.2729	143.0948	906.0842	354.1417	219.5122	188.9739	379.7673	217.9644	490.9965	203.7309	278.6961	547.4574	535.4559
ABI1|10006	1314.238	949.1832	1511.6532	1950.1409	3730.1516	1290.1057	2129.2548	1831.2319	1607.5408	828.235	1983.7935	1873.5632	1848.362	1524.9709	2900.1875	1256.1403	1514.5383	1768.0303	903.0822	1081.9754
ABI2|10152	891.6055	870.7891	1068.4115	708.9826	454.3023	966.0761	853.9587	1179.2148	1672.213	557.0463	2645.2581	1680.684	895.7935	1284.7447	2324.7724	1686.8613	1818.7166	1036.7309	943.5852	659.9132
ABI3BP|25890	318.6634	76.6036	111.961	913.4293	56.6206	27.012	32.2688	263.6676	281.198	23.7129	138.6555	874.6846	181.3257	53.0058	17.3937	56.9626	2025.5438	313.1313	20.9191	31.1143
ABI3|51225	548.4923	263.9594	328.2876	296.1406	168.9701	185.5883	197.6048	77.8923	132.7787	283.3073	103.2413	194.5613	133.5245	92.437	182.09	151.6672	154.8107	436.18	429.5093	124.4573
ABL1|25	2231.4588	1939.0863	2552.0351	1406.997	1430.2274	1888.6152	2116.4338	2187.2332	2209.9834	795.4238	1760.5042	2294.9257	2650.0956	1778.2805	2116.0484	3077.0279	3658.4875	1915.5188	2193.8355	1087.5543
ABL2|27	681.3366	775.7268	920.1617	881.841	1660.7222	1091.6024	1320.6919	1299.5939	2068.2196	530.4212	960.3842	1604.9902	1889.1013	1245.6367	594.1025	592.341	2280.6719	754.3618	887.5042	1190.3039
ABLIM1|3983	1682.1516	1163.821	1115.9528	2419.5786	1875.613	2754.9059	1395.5422	1437.0509	2858.5691	608.2163	20909.964	2181.9456	5126.8324	2866.5158	1835.5755	3618.6967	4156.9781	2678.1451	1024.5911	3078.8712
ABLIM2|84448	61.9397	37.8403	82.9862	59.6669	74.8997	48.9394	15.6354	14.1622	165.0582	181.7993	36.0144	41.7718	12.747	89.5281	79.3586	138.3876	102.7943	125.8035	119.7285	15.919
ABLIM3|22885	1540.3423	1513.6133	92.832	121.9661	106.9996	153.4917	857.9508	1077.9965	284.8586	2379.6152	31.8127	739.8374	3643.4034	492.5663	75.0102	643.3627	1404.7527	423.3242	4099.2545	950.0724
ABO|28	0.815	1.8459	0	5.7034	4.4583	0.6356	0.6653	5.415	1.9967	0	1.8007	7.0087	9.5602	0.9696	23.9163	1.0484	32.2006	9.6419	385.4456	1.4472
ABP1|26	6.52	82.1412	18.2851	28.956	0.4458	21.6096	1227.5449	0.4165	37.9368	188.8716	19.8079	1.9624	3.1867	1.2928	2.7178	2.4462	5.5732	13.7741	0	0.7236
ABRA|137735	0	0	0	2.6324	0.8917	0.3178	0.3327	0.4165	0.6656	0.416	0	0.5607	0	0	0	0	0	1.3774	0	0
ABR|29	2249.3888	2079.3724	1641.4379	1170.962	474.8105	1840.947	2620.7585	1442.4659	1468.8852	1662.4025	2467.587	3041.7718	1494.9012	1394.3116	3530.371	1052.9341	2396.1607	1731.8641	3337.71	928.3647
ABT1|29777	678.0766	470.2353	541.8011	718.1959	905.9296	607.611	868.2635	462.7721	457.5707	706.3963	377.551	371.4606	703.9516	499.0304	523.4407	558.443	420.7756	662.0753	868.8105	428.3647
ABTB1|80325	587.6121	311.0291	353.8867	268.9396	472.1355	428.6963	306.0546	350.3072	540.4326	1405.7202	229.2917	556.7704	665.0733	657.0782	160.3479	342.125	372.165	849.8623	1118.0594	798.8423
ABTB2|25841	109.2095	33.2257	113.6488	153.5544	560.856	338.4444	142.0492	37.4883	275.8735	31.2012	2359.5438	58.5927	82.218	606.0116	271.7761	250.5655	97.5308	180.8999	15.5781	361.0709
ACAA1|30	1555.0122	2083.0641	1231.5707	886.2283	2082.033	807.8176	1343.3134	672.2899	995.3411	2162.0385	484.994	797.0283	1271.1918	1264.7059	1009.9198	670.6208	743.4012	1943.067	3262.9354	1275.6874
ACAA2|10449	876.9356	677.4342	1000.8974	1707.5249	1114.1329	1410.9796	1152.6946	1084.661	680.5324	1132.8133	3328.9316	1099.5234	264.8184	1937.6212	637.5866	1198.311	1067.8845	1189.1644	500.7233	866.136
ACACA|31	1361.8582	5644.6701	3678.115	834.4585	1198.8408	2793.0404	2890.8849	3140.6852	2439.6007	842.0177	2448.3794	1429.7729	17203.6329	2106.3348	1933.9584	1194.4669	1623.9647	1316.8044	2899.7441	2456.5847
ACACB|32	246.1288	136.1329	192.6967	696.6983	22.7374	210.3758	339.654	364.4694	250.5824	704.7322	189.6759	934.1183	93.0529	578.8623	244.5985	219.8127	917.4085	439.8531	577.7234	51.3748
ACAD10|80724	597.392	624.8269	409.0233	332.555	450.7356	1236.8317	1189.6208	765.1775	614.975	527.9251	461.5846	472.9465	489.8024	800.2586	396.2495	394.5445	560.1053	448.1175	603.5384	379.8842
ACAD11|84129	352.0782	274.5731	189.0396	226.8218	287.5613	239.5646	92.149	241.537	312.7621	187.6235	266.5066	307.261	270.8381	268.5844	254.3824	262.7967	309.9311	277.7778	470.7155	227.9305
ACAD8|27034	635.6968	405.1684	558.117	463.7343	231.3865	308.8901	462.7412	404.4569	425.624	450.13	203.4814	520.6056	364.5634	234.3245	274.4938	341.0766	753.9283	531.6804	295.0929	604.9204
ACAD9|28976	990.3015	1172.575	1333.098	1003.3683	1980.8292	1392.8688	1157.1058	896.3824	760.396	1383.4509	1045.4022	790.2832	806.3576	1041.7356	863.139	862.4729	647.1089	977.9614	1559.0386	1258.9653
ACADL|33	1.63	4.1532	2.2505	2.6324	0.8917	1.9067	0	3.7488	1.9967	1.248	126.0504	10.0925	0.3187	3.5553	11.9581	0.6989	9.2886	22.9568	0	0
ACADM|34	1220.0489	474.3886	812.139	975.2898	539.4561	606.0221	689.2881	1244.1945	1455.2413	448.882	658.4634	841.0429	790.3123	469.9418	1727.4086	928.1756	1207.2142	1261.2489	948.0361	190.3039
ACADSB|36	1199.674	3076.6036	1198.9389	1195.9694	336.6028	3731.7868	2703.5928	6063.1053	8960.7321	2288.5075	465.1861	1638.0712	1267.3678	1780.8662	804.4571	1715.5173	1984.9834	1275.9412	1112.2733	55.7164
ACADS|35	451.5077	1127.365	246.708	134.6891	499.7771	548.1846	222.2222	395.2931	330.4493	608.2163	87.6351	426.4087	470.0446	891.0795	271.2325	125.108	263.1783	499.5409	1188.8283	344.4284
ACADVL|37	5031.7685	4810.7983	3622.1345	2486.6951	5153.8119	3405.0687	3288.7026	3240.2041	3034.8319	15259.8898	2010.012	3659.871	4083.4767	5360.0291	2075.6461	1937.4198	2225.5345	5987.1396	3713.3148	4782.9016
ACAN|176	57.8647	51.2229	258.2417	39.4854	442.2648	52.4351	65.8683	14.5788	14.3095	82.3713	165.6663	123.0726	7.0108	40.4008	26.0905	485.7545	92.8864	109.2746	201.6246	76.7004
ACAP1|9744	461.2877	77.0651	106.3348	311.0573	33.4374	53.0706	46.9062	28.741	50.9151	70.7228	48.6194	42.3325	77.7565	24.2405	95.6652	24.113	65.6398	227.7319	25.8151	48.4805
ACAP2|23527	788.9161	858.3295	936.4776	936.6818	1223.3616	1450.3853	1306.3872	1499.1149	1399.3344	421.8409	1085.2341	1353.238	1332.0586	661.2799	2629.1616	932.3692	2044.7403	938.0165	653.8333	632.4168
ACAP3|116983	868.0359	279.1924	960.1441	1273.7162	1135.1003	674.7692	913.8656	461.964	498.5258	2421.7535	752.1128	425.3266	586.0962	395.9308	697.4535	363.4457	494.1559	759.9174	1127.1704	801.7656
ACAT1|38	1173.5941	2047.9926	1719.3605	2155.4651	816.3174	2083.1016	2122.0892	1077.5799	1571.7138	1649.506	379.952	613.681	1192.798	1257.2721	1188.2049	623.0938	890.781	1363.1772	2629.131	3268.4515
ACAT2|39	325.6235	482.7042	773.3212	587.7097	529.728	1138.8957	637.5682	335.7659	296.0666	738.675	488.6194	629.4589	1061.3289	757.0071	1139.7038	345.382	326.8488	683.4527	375.5647	2651.2156
ACBD3|64746	1466.1777	1431.4721	2857.5367	2536.28	997.7708	2391.6739	2124.4178	1955.2223	2960.3993	1374.519	1854.7419	4012.0549	2986.6157	2474.4667	2613.9421	4585.3133	2332.9979	1684.573	1191.9439	2745.2967
ACBD4|79777	249.3888	261.1906	175.8181	99.1523	197.9492	318.4238	112.7745	261.5849	256.9052	673.947	34.2137	123.0726	137.6673	318.0349	109.254	121.6134	137.4719	232.7824	609.7697	159.9132
ACBD5|91452	458.0277	410.706	1086.134	1893.1064	1173.4284	1153.8889	1285.4291	1227.9496	1011.6473	717.2127	358.3433	1046.5377	901.211	989.3342	1280.0652	606.669	1094.8216	712.5803	699.6773	536.1795
ACBD6|84320	653.6267	738.8094	643.3537	599.3009	1415.5149	488.7582	541.9162	391.9608	844.2596	1297.9719	298.3193	423.6053	637.986	957.66	210.3547	290.0549	424.8007	694.674	397.9081	2062.2287
ACBD7|414149	105.9495	59.5293	126.589	238.2287	518.9478	72.4557	40.5855	99.9688	18.6356	56.5783	86.4346	29.9972	3.5054	65.9341	156.543	96.1025	37.4642	36.7309	8.0116	5.7887
ACCN1|40	0	0	2.5318	0.8775	0	9.2159	0.6653	0	2.995	1.6641	0	1.1214	0	1.9392	0	0.6989	3.4058	4.5914	6.2312	0.7236
ACCN2|41	101.8745	101.0614	99.5834	59.6669	50.379	191.9441	47.2389	52.0671	72.8785	252.5221	31.8127	106.8124	38.8783	112.4758	119.5815	62.2045	148.9279	56.933	268.3877	189.5803
ACCN3|9311	7.335	6.922	39.6646	14.478	17.8333	7.6269	15.6354	2.9158	8.985	15.3926	0.6002	16.5405	3.5054	24.5637	17.3937	8.0377	33.1295	26.1708	20.0289	15.919
ACCN4|55515	2.445	0.9229	0.8439	1.3162	0.8917	0.6356	0	0.4165	2.3295	7.0723	13.2053	0.5607	0.3187	0.9696	0	0.6989	0.9289	5.5096	0	0
ACCN5|51802	0	0	0.2813	0	0	0	0.998	0	0	0	0	0	0.6373	0	0	0	0	0	1.7803	0
ACCSL|390110	0	0	0	0	1.7833	0	0	0	0	0	0	0	0.3187	0	0	0	0.3096	0.4591	0	0
ACCS|84680	393.643	69.2201	228.4229	41.6791	346.4111	40.9947	166.0013	292.8252	341.0982	141.0296	149.4598	152.2288	282.3454	176.1474	399.5108	77.9304	197.5385	202.9385	497.1626	327.7858
ACD|65057	325.9984	409.3216	544.8955	390.9056	280.8738	413.7602	334.9967	157.4508	205.99	918.1487	425.5702	290.4401	835.2454	405.3006	231.5532	271.1838	276.8016	439.3939	736.1745	602.7496
ACE2|59272	12.2249	1.3844	1.6879	5.2647	47.704	0.6356	0	1.2496	0.6656	0.416	53.4214	0	0.956	0.3232	241.8807	5.242	8.979	34.8944	5.7861	17.3661
ACER1|125981	0.815	0	2.5318	0	3.5667	0.3178	0.6653	0.4165	0.3328	4.9922	0	3.9249	0.956	0	1.0871	0.3495	1.5481	2.7548	0	0
ACER2|340485	69.2747	113.9825	21.0982	67.1252	10.7	159.5297	164.338	276.1637	196.3394	12.4805	21.0084	198.2058	272.7852	72.075	71.2053	86.667	268.7515	38.5675	85.9019	12.301
ACER3|55331	268.9487	450.8537	269.7753	356.6849	305.8404	279.3358	479.0419	255.3369	383.0283	293.2917	248.4994	313.9893	1533.1421	445.0549	602.2557	762.8793	592.6155	220.3857	124.6245	971.0564
ACE|1636	370.0081	506.6913	498.4795	234.2801	328.5778	402.0021	1072.8543	206.1856	240.2662	238.7936	669.8679	3812.1671	976.7368	351.3251	305.4763	590.9431	917.0988	449.4949	1347.7245	553.5456
ACHE|43	24.4499	13.844	9.5645	32.0271	16.4958	57.5197	447.4385	8.3307	9.3178	6.6563	93.0372	57.4713	12.747	6.7873	37.5051	6.6398	17.6484	41.7815	16.9133	51.3748
ACIN1|22985	3998.37	2112.5981	2120.5071	4020.0542	2110.1204	2615.079	2502.994	1856.9197	3234.2762	3048.986	2032.413	3542.753	3538.5596	3191.6613	2194.3199	2868.3981	2936.1406	2819.5592	3876.7108	1971.78
ACLY|47	2634.8818	4655.7453	6417.5019	2994.7495	3164.9576	9044.5698	4589.4877	4786.4209	4271.2146	3038.5855	7102.0408	5248.1077	5946.7814	4001.2928	4893.0561	3204.5822	4000	2982.0937	17373.9846	4321.2735
ACMSD|130013	0	71.9889	0.5626	0	0	0	1.3307	0	0	0	0.6002	0.2803	38.5596	0.6464	0	5.5914	5.8828	4.1322	0.4451	0.7236
ACN9|57001	110.8394	157.3604	145.7181	77.2159	19.6166	22.8807	72.5216	192.4399	101.4975	22.8809	201.0804	33.081	89.2288	257.5953	278.8422	111.8284	156.9781	205.6933	110.3817	79.5948
ACO1|48	773.4311	1428.2418	923.5374	1171.8394	1382.0776	432.5097	442.4484	686.0356	528.1198	430.1612	590.6363	837.118	1163.7986	1548.4809	1765.4573	1392.9623	1020.822	769.9725	1539.5571	624.4573
ACO2|50	3101.9723	2369.3539	4470.0645	2942.4928	1703.0762	2331.7772	2317.8011	1593.7769	2516.6789	4171.8107	4476.5186	2961.4634	2471.7304	4672.0233	1897.4208	1571.5103	2294.6637	2900.6749	2730.8023	4844.9493
ACOT11|26027	24.4499	22.6119	120.6816	14.1709	101.2037	155.2364	82.169	55.8159	56.5691	325.325	31.2125	17.9422	60.2294	86.6419	115.5864	178.2265	73.2905	28.7741	50.2949	12.301
ACOT12|134526	0	0	0	0	0	1.2712	0	0	0.3328	0	0	0.2803	0	0	0	0.3495	0	0	0.4451	1.4472
ACOT13|55856	508.5656	495.1361	768.3224	845.9005	1440.0089	798.6939	871.6401	736.1116	329.9201	458.1092	386.9028	570.143	1335.5959	920.9179	1331.806	523.9894	546.4881	702.3186	689.8631	1015.6006
ACOT1|641371	650.3667	792.8011	292.8427	337.8197	682.1222	460.7929	669.9933	289.0763	445.5907	1025.065	126.6507	816.3723	260.3569	858.7589	216.8773	585.3517	358.5417	1147.3829	358.7404	777.2359
ACOT2|10965	394.458	521.9197	236.0182	211.0276	356.2193	351.4737	413.1737	382.3805	341.7637	648.1539	101.4406	443.51	125.8764	524.2405	169.0447	375.324	275.5631	462.3508	279.5149	476.7438
ACOT4|122970	277.9136	694.97	207.606	207.9565	204.6366	232.9387	515.3027	269.0826	256.5724	496.3079	19.8079	176.619	104.2065	472.2043	101.1007	279.9204	93.8153	173.0946	350.2837	405.2098
ACOT6|641372	0	3.2303	7.314	0.8775	1.7833	2.2245	3.992	1.2496	0.9983	0.832	0.6002	1.1214	1.5934	10.0194	1.6307	1.3979	1.2385	8.2645	7.1214	20.2605
ACOT7|11332	542.7873	245.5007	1215.2548	1297.754	800.7133	1147.5332	979.0419	307.8205	400.3328	1941.1336	1579.2317	408.1862	984.385	1166.128	1151.2434	1087.8805	346.1568	754.8209	1779.4592	1282.9233
ACOT8|10005	428.0848	556.4375	454.5194	426.7935	539.9064	542.0418	827.8743	238.9837	224.2696	697.5809	168.7275	277.2246	427.986	640.7822	226.2101	373.8108	206.6445	371.157	587.0257	602.699
ACOT9|23597	475.9576	261.1906	519.859	377.7438	974.5876	379.7569	381.2375	340.3103	158.4027	596.1518	657.8631	449.3973	411.0899	82.4176	449.5176	416.9102	490.4404	1134.9862	467.7868	1205.4993
ACOX1|51	1507.9055	1285.7314	1233.2052	2461.6964	1379.4026	1811.04	1278.3699	820.6102	1556.5824	1546.3339	2542.0168	2483.4651	1612.3008	1274.4021	2601.8916	1674.2806	1544.392	973.8292	1768.2386	1341.5991
ACOX2|8309	130.3993	399.6308	2240.3448	116.7013	27.1957	458.8862	4086.161	31.6568	30.6156	199.688	19.8079	216.148	643.7221	47.1881	26.6341	224.3557	153.5723	239.6694	14.2428	1107.8148
ACOX3|8310	861.4507	562.0674	671.4846	1566.2549	893.8921	690.8715	616.4338	1429.9698	1205.99	2287.2595	379.3517	1406.2237	296.0484	645.4428	454.4096	596.1851	1198.8544	633.1497	1089.5738	1073.0825
ACOXL|55289	1.63	0.9229	0.2813	17.9878	0	113.1326	6.3207	5.415	0.9983	39.9376	0	18.2226	2.2307	4.5249	10.871	3.8441	2.1674	0.9183	50.74	2.8944
ACP1|52	1911.9804	1403.3226	1503.8778	1886.0868	3084.2621	1539.0482	2035.2628	1290.0135	1803.9933	2175.351	2382.9532	1299.6916	1319.3117	1590.8209	1530.6428	1607.8825	1436.3341	1624.4261	1258.2619	1868.3068
ACP2|53	1740.0163	1642.3627	2008.5462	1066.1063	2271.0655	1371.5738	1013.6394	1542.8512	493.1747	2179.9272	762.9052	1456.4059	962.7151	1301.2282	1450.7406	1542.8823	571.5613	1098.2553	1476.7998	1594.0666
ACP5|54	2284.4336	1742.0397	3643.7953	2315.6004	628.6224	2691.0304	2677.9774	410.705	966.3894	5316.6927	319.928	361.3681	1356.2779	1296.3801	384.8349	581.5076	546.7915	1380.1653	1695.3377	692.4747
ACP6|51205	310.5134	514.0748	135.5909	227.2605	263.4864	170.0167	172.9874	287.4102	407.3211	228.8092	168.0672	211.6625	963.0338	531.0278	159.2608	112.1778	192.5846	438.0165	310.2259	1139.6527
ACPL2|92370	362.6732	1176.2806	311.409	317.6382	486.4021	396.2819	363.2735	454.0248	447.9201	244.6178	1636.2545	404.5416	197.5781	314.1564	215.2466	562.986	618.9334	391.1846	413.9312	465.9913
ACPP|55	10.5949	26.3036	7.5953	43.8727	63.3081	176.6902	54.5576	7.0811	19.3012	12.8965	1.2005	59.714	16.2524	13.5747	2.1742	104.4896	39.6316	45.4545	7.1214	33.2851
ACPT|93650	0	0.9229	0.5626	0	0	0	0.3327	0.4165	0.3328	0	0	0	0	0	0	0	0	0	0	0
ACRBP|84519	47.2698	10.6138	52.8861	17.1103	11.1458	34.3211	28.9421	9.5803	19.3012	35.3614	7.2029	31.3989	23.5819	67.8733	70.6618	8.7366	27.2467	40.8632	66.7631	14.4718
ACRC|93953	27.7099	0.4615	3.9383	16.6716	3.5667	6.6736	16.9661	21.6599	9.3178	21.2168	1.8007	13.4567	42.7024	14.5443	16.3066	12.2312	10.2175	44.0771	13.7977	17.3661
ACRV1|56	0	0.4615	1.4065	2.1936	0	1.2712	1.996	1.2496	1.3311	4.5762	1.8007	0.5607	1.5934	1.2928	3.2613	0	0.6192	0	13.3526	0.7236
ACR|49	3.26	2.3073	2.2505	0.4387	10.7	0.3178	0.998	0.4165	0	4.1602	18.0072	1.6821	2.8681	4.2017	2.7178	0.3495	2.1674	2.7548	35.607	1.4472
ACSBG1|23205	8.965	4.1532	1.1252	2.6324	13.8208	3.8135	3.6593	4.5819	3.6606	7.0723	3.6014	6.448	15.9337	1.616	2.7178	3.8441	9.9079	77.135	8.4567	10.1302
ACSBG2|81616	1.63	0.9229	1.1252	2.1936	1.7833	3.1779	0.998	0.4165	1.3311	0	0	1.4017	2.2307	0	1.0871	0.6989	2.1674	1.3774	0.4451	0
ACSF2|80221	695.1915	985.293	334.1951	892.3704	821.6674	940.9708	1193.6128	992.1899	1361.5541	213.0005	172.8691	1148.0235	217.0172	827.0847	110.3411	454.6523	1120.2105	1024.7934	381.8849	844.4284
ACSF3|197322	479.2176	258.4218	684.1435	457.1534	280.428	666.7196	533.5995	213.2667	341.0982	293.7077	245.4982	171.5728	283.3015	330.6399	307.1069	84.2208	359.4705	491.7355	612.4402	306.0781
ACSL1|2180	987.7751	1093.6779	2780.1767	1580.2941	1486.848	1656.3121	3256.487	1490.7841	1924.1265	652.7301	512.605	2539.6692	3375.3983	521.0084	1927.4358	1129.8162	3012.9267	1801.6529	2496.4949	7899.4211
ACSL3|2181	3605.542	3906.7836	2136.5418	2099.7467	2319.6612	2330.023	3156.6866	2894.5121	4225.624	2373.791	1216.0864	21388.8422	8897.0682	2619.2631	1717.6247	3126.6518	3924.4524	2006.4279	8230.1102	3766.2808
ACSL4|2182	515.8924	429.6262	659.6696	692.311	633.5265	964.805	574.185	680.2041	572.0466	169.3188	905.1621	739.2767	345.1243	104.0724	1549.6671	456.0501	1578.76	814.5087	161.1216	361.0709
ACSL5|51703	771.8011	940.9322	524.6413	475.1412	190.8159	176.3724	149.0353	132.8751	862.8952	84.4514	80.4322	199.6075	221.7973	75.6303	924.5821	262.0978	559.486	970.6152	95.6938	1030.3907
ACSL6|23305	11.4099	5.5376	18.5664	2.1936	4.9041	6.3558	20.9581	6.6646	5.3245	1.248	0.6002	2.5231	1.2747	2.5856	282.6471	0.6989	4.6443	5.9688	38.7226	3.6179
ACSM1|116285	11.4099	148.1311	26.7244	9.2133	4.0125	8.5803	94.145	46.6521	12.9784	10.8164	7.8031	10.0925	7.6482	8.4034	5.9791	7.3387	13.0041	1531.6804	44.9538	54.9928
ACSM2A|123876	1.63	0	0	0.8775	0.4458	0	0	0	0	0	0	0	0	0	0.5436	0	1.2385	0.4591	0	0
ACSM2B|348158	0	0	0	0	0	0	0	0.4165	0	0	0	0.2803	0	0.3232	1.0871	0	0.3096	0	0	0
ACSM3|6296	57.8892	27.3696	10.8867	64.019	211.605	51.7359	12.0259	35.1973	126.7354	5.2085	74.4658	39.3328	8.9324	6.3607	163.1798	9.9912	88.8892	108.8062	7.7623	0.8249
ACSM4|341392	0	0	0	0.4387	0	0	0	0	0.6656	0	0	0	0	0	0.5436	0.3495	0	0	0	0
ACSM5|54988	56.2347	5.9991	7.8767	24.13	1.7833	33.3678	15.3027	16.6615	10.9817	22.4649	0	38.1273	3.8241	8.0802	2.1742	9.785	32.5103	85.3994	5.341	0.7236
ACSS1|84532	1612.8769	1107.9834	853.4915	2107.2051	909.942	1665.8457	3066.5336	389.4616	851.9135	1543.8378	897.3589	3417.1573	947.1001	2142.5339	228.2919	1592.8556	957.3496	1905.877	4069.8787	62.2287
ACSS2|55902	678.8916	1248.731	710.0239	1081.023	1000.8917	1097.9582	753.493	531.084	450.9151	2122.1009	642.8571	723.0165	3440.4079	1162.2495	422.8835	623.7927	595.0925	758.0349	920.4406	2426.9175
ACSS3|79611	69.2747	341.0245	129.1208	758.9975	51.7165	164.2965	307.7179	721.0247	278.5358	38.6895	6.0024	109.3356	576.4818	161.9263	80.9893	152.7156	275.8727	250.6887	1993.9913	235.89
ACTA1|58	239.6088	0.9229	18.8477	2.1936	4.0125	87.3918	32.9341	151.2027	240.9318	4.9922	9.6038	21.5868	8.2855	78.8623	3.2613	19.2205	4.6443	5.9688	1.3353	0
ACTA2|59	5455.3138	3309.2524	11457.9879	4010.0732	10920.0401	6226.7864	6804.4411	10142.1931	7110.9351	11417.1815	4894.2017	10853.423	2783.0306	2018.287	552.4501	11833.152	19743.7511	23402.1488	6095.4445	1904.0304
ACTBL2|345651	1.63	0	5.3449	0	1.3375	0	4.3247	2.9158	1.3311	0.416	0	1.1214	9.5602	0	0.5436	1.3979	10.5271	2.2957	0.4451	0
ACTB|60	89105.1345	121811.2598	164636.0846	144441.6049	306909.942	89131.9615	85599.1351	57811.5172	72789.3511	102449.922	128176.4706	102447.9955	77108.3493	105040.4008	66615.0292	133848.4428	78762.1333	120865.4729	61921.8872	184191.7511
ACTC1|70	1.63	5.5376	3.9383	1.7549	1.3375	0	0.3327	2.4992	0	2.4961	3.6014	6.1676	0.3187	2.2624	1.6307	4.543	1.5481	5.0505	16.9133	1.4472
ACTG1|71	100555.0122	71451.7766	87702.8589	60862.3834	79800.2675	91373.3217	97037.5915	47569.3013	84149.7504	186056.7863	57647.0588	76517.5217	49622.0523	57516.1603	55478.19	107893.4241	46789.6896	58061.0652	50420.385	44887.8437
