TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SW-01A-11R-A084-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-A8-A07W-01A-11R-A00Z-07	TCGA-A8-A08J-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-B6-A0I9-01A-11R-A034-07	TCGA-B6-A0IB-01A-11R-A034-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-PL-A8LX-01A-11R-A41B-07	TCGA-UU-A93S-01A-21R-A41B-07
ABCD2|225	19.5599	0.9229	6.1888	57.4732	15.1583	5.0846	3.6593	9.5803	5.6572	4.9922	5.4022	31.9596	5.0988	6.4641	22.8292	1.3979	36.5353	19.2837	1.3353	0
ABCD3|5825	1760.3912	1773.8809	2254.1289	1739.552	1818.5466	1809.1682	1164.6707	4058.7316	4037.604	1893.7077	3026.4106	1778.8057	2491.0771	1197.1558	1313.2219	2337.2133	2041.3345	1137.741	559.9199	1081.042
ABCD4|5826	774.2461	539.9169	325.7558	311.9348	233.1699	354.9694	300.7319	391.5443	453.9101	753.8222	187.8752	495.935	184.5124	451.1959	219.0515	570.3248	544.9338	729.5684	324.9138	267.0043
ABCE1|6059	1138.5493	753.5764	1452.6796	1470.1737	1585.3767	1153.2534	1634.0652	1901.9057	3259.5674	789.5996	2046.8187	1233.5296	1377.6291	856.4964	2039.9511	964.8693	1716.8511	1695.5923	1157.6722	1272.0695
ABCF1|23	1992.665	1125.5192	1948.9087	1725.5127	2752.1177	2210.2169	1665.6687	1957.7215	1993.0116	2245.6578	1064.8259	2073.7314	3062.4602	1969.6186	2943.3347	1664.4956	1610.0317	1857.2084	2036.7197	8425.4703
ABCF2|10061	1432.7628	1514.9977	1660.2856	1536.4215	1838.609	1505.3627	1342.648	1517.4425	1241.5973	988.4555	1956.7827	1206.0555	1076.8005	1362.3142	3366.2182	1657.1569	1070.9807	1268.1359	1682.4302	1473.9508
ABCF3|55324	1426.2429	1142.132	1120.735	1185.0012	1862.6839	1413.5219	1514.3047	1078.8295	904.8253	1963.1825	1567.8271	1251.1915	1299.8725	1597.9315	1399.6467	1309.4405	832.8818	1233.7006	1718.0372	1666.4255
ABCG1|9619	1201.304	795.1084	1839.4795	1867.6602	499.7771	976.5631	1551.8962	1447.8809	3145.0915	524.181	99.6399	1633.3053	609.624	843.5682	329.9361	1300.005	764.7651	606.9789	2521.4198	193.9219
ABCG2|9429	65.1997	77.988	25.8804	17.1103	83.3705	14.3005	56.5536	99.1357	88.5191	54.0822	692.6771	144.379	11.7909	27.7957	8.6968	24.113	189.1787	139.1185	43.6186	10.1302
ABCG4|64137	13.0399	3.6917	3.0944	2.1936	4.0125	1.2712	1.3307	4.1654	1.6639	4.5762	0.6002	1.9624	1.912	2.9089	3.8049	6.9893	3.4058	2.2957	8.4567	4.3415
